Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Fwd Packet Length Min,Bwd Packet Length Max,Flow IAT Min,Fwd IAT Min,Fwd Header Length,Bwd Packets/s,Packet Length Max,Packet Length Std,RST Flag Count,FWD Init Win Bytes,Bwd Init Win Bytes,Idle Mean,Idle Max,FIN Flag Count,SYN Flag Count,ACK Flag Count
0,0,0,18744276,2,0,0.0,0.0,0.0,18744276.0,18744276.0,0,0.0,0.0,0.0,0,0,0,849423301052822.5,1698846583361369.0,0,0,0
55551,17325,6,4480,1,1,0.0,0.0,0.0,4480.0,0.0,24,223.2142857142857,0.0,0.0,1,1024,0,1698688166753076.0,1698688166753076.0,0,1,1
55295,35786,6,101,1,1,2.0,2.0,0.0,101.0,0.0,24,9900.9900990099,2.0,1.1547005383792517,1,1024,0,1698682857745012.0,1698682857745012.0,0,1,1
0,0,0,25291479,2,0,0.0,0.0,0.0,25291479.0,25291479.0,0,0.0,0.0,0.0,0,0,0,849423455637964.0,1698846885984449.0,0,0,0
443,55592,6,55801770,6,7,78.0,0.0,37.0,2.0,1203.0,192,0.1254440495346294,39.0,17.823308606157546,0,27,2668,424689811166930.4,1698759193183518.0,0,0,13
0,0,0,7979293,2,0,0.0,0.0,0.0,7979293.0,7979293.0,0,0.0,0.0,0.0,0,0,0,849423136707635.5,1698846265435978.0,0,0,0
0,0,0,27982658,2,0,0.0,0.0,0.0,27982658.0,27982658.0,0,0.0,0.0,0.0,0,0,0,849423065035173.5,1698846102087689.0,0,0,0
0,0,0,6011293,2,0,0.0,0.0,0.0,6011293.0,6011293.0,0,0.0,0.0,0.0,0,0,0,849423242745296.5,1698846479479300.0,0,0,0
0,0,0,13334042,2,0,0.0,0.0,0.0,13334042.0,13334042.0,0,0.0,0.0,0.0,0,0,0,849423316803908.5,1698846620273775.0,0,0,0
443,57291,6,59571305,7,9,4632.0,0.0,408.0,2385.0,10346.0,224,0.1510794500808736,928.0,416.42001032611296,0,183,776,339804877310650.1,1699024327138164.0,0,0,16
